Stock,PE,Marketcap,Beta,Sector
AKBA,-1.75,524490350,1.8767547312595194,Health Technology
AKCA,-9.48,1951880800,1.28030461889903,Health Technology
AKER,-0.72,7383361,0.7064718976139923,Health Technology
AKG,-0.91,135257195,0.2531929723825168,Non-Energy Minerals
AKR,78.25,2263732150,0.664313986621976,Finance
AKRX,-1.14,518502000,0.6086113816533608,Health Technology
AKS,3.57,544111680,1.8738918226829149,Non-Energy Minerals
AKTS,-5.85,209196720,0.6716325949061869,Electronic Technology
AKTX,,,0.867661047217963,Health Technology
AL,7.12,4000248000,1.3158820645393354,Finance
ALAC,,,-0.009901807036427072,Finance
ALACR,,,-0.6234358972061211,Finance
ALACU,,,-0.04402090648964952,Finance
ALACW,,,0.15812474145945524,Finance
ALB,9.81,6707078100,1.150463105753063,Process Industries
ALBO,-6.44,396083100,1.6577210524550192,Health Technology
ALC,,28432566000,-1.7511180712225969,Health Services
ALCO,13.71,192501900,0.3097033197798117,Process Industries
ALDR,-2.27,903513280,1.7944606917737853,Health Technology
ALDX,-3.56,191612270,1.4762991544648085,Health Technology
ALE,21.78,4227489360,0.22546509437121448,Utilities
ALEC,,1164625520,0.8483363454411879,Health Technology
ALEX,-15.03,1664177520,0.6786513337420405,Finance
ALFA,,,1.1934789915533233,Miscellaneous
ALG,14.96,1115617360,0.7283238306951176,Producer Manufacturing
ALGN,60.5,22749421750,1.7560696302358556,Health Technology
ALGR,,,-0.020455235237591633,Finance
ALGRR,,,0.0785221149424831,Finance
ALGRU,,,-0.019107586320998956,Finance
ALGRW,,,0.5849779140206185,Finance
ALGT,13.85,2281971570,0.7910154484850311,Transportation
ALIM,3.15,62480000,0.42757366900094523,Health Technology
ALJJ,-77.78,53236400,0.6598780403874056,Commercial Services
ALK,16.41,7187932800,0.9914445857475359,Transportation
ALKS,-19.42,3379712160,1.4407000963159822,Health Technology
ALL,13.43,31815049570,0.7101472089982679,Finance
ALLE,20.79,9117459300,0.9107359415247973,Producer Manufacturing
ALLK,-28.42,1690460800,0.13257539928603942,Health Technology
ALLO,-11.81,3187967970,0.1420065675309882,Health Technology
ALLT,-23.03,233153450,0.7648922216962226,Electronic Technology
ALLY,8.68,11465980330,1.0958203034144347,Finance
